sample_id,location,date,quantity,pcs/m,region
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,2016-10-13,2,0.04,Grand lac
"('parc-des-pierrettes', '2017-10-05')",parc-des-pierrettes,2017-10-05,0,0.0,Grand lac
"('parc-des-pierrettes', '2019-10-10')",parc-des-pierrettes,2019-10-10,1,0.03,Grand lac
"('parc-des-pierrettes', '2020-10-01')",parc-des-pierrettes,2020-10-01,2,0.04,Grand lac
"('plage-de-dorigny', '2017-03-20')",plage-de-dorigny,2017-03-20,0,0.0,Grand lac
"('plage-de-st-sulpice', '2016-10-13')",plage-de-st-sulpice,2016-10-13,4,0.06,Grand lac
"('plage-de-st-sulpice', '2017-10-05')",plage-de-st-sulpice,2017-10-05,6,0.07,Grand lac
"('plage-de-st-sulpice', '2020-10-01')",plage-de-st-sulpice,2020-10-01,6,0.15,Grand lac
"('plage-de-st-sulpice', '2021-10-07')",plage-de-st-sulpice,2021-10-07,2,0.0,Grand lac
"('saint-sulpice', '2018-11-06')",saint-sulpice,2018-11-06,0,0.0,Grand lac
"('tiger-duck-beach', '2018-10-16')",tiger-duck-beach,2018-10-16,4,0.22,Grand lac
"('tiger-duck-beach', '2020-07-14')",tiger-duck-beach,2020-07-14,1,0.04,Grand lac
"('tiger-duck-beach', '2020-10-01')",tiger-duck-beach,2020-10-01,4,0.13,Grand lac
"('tiger-duck-beach', '2020-11-24')",tiger-duck-beach,2020-11-24,0,0.0,Grand lac
"('tiger-duck-beach', '2021-10-07')",tiger-duck-beach,2021-10-07,2,0.07,Grand lac
"('anarchy-beach', '2018-04-02')",anarchy-beach,2018-04-02,0,0.0,Haut lac
"('anarchy-beach', '2021-03-24')",anarchy-beach,2021-03-24,5,0.18,Haut lac
"('arabie', '2016-01-24')",arabie,2016-01-24,46,1.15,Haut lac
"('arabie', '2016-04-02')",arabie,2016-04-02,6,0.15,Haut lac
"('arabie', '2016-08-25')",arabie,2016-08-25,11,0.28,Haut lac
"('arabie', '2017-02-16')",arabie,2017-02-16,5,0.17,Haut lac
"('arabie', '2018-05-08')",arabie,2018-05-08,9,0.3,Haut lac
"('baby-plage-geneva', '2020-05-05')",baby-plage-geneva,2020-05-05,0,0.0,Petit lac
"('baby-plage-geneva', '2020-06-09')",baby-plage-geneva,2020-06-09,0,0.0,Petit lac
"('baby-plage-geneva', '2020-07-07')",baby-plage-geneva,2020-07-07,1,0.01,Petit lac
"('baby-plage-geneva', '2020-08-18')",baby-plage-geneva,2020-08-18,0,0.0,Petit lac
"('baby-plage-geneva', '2020-10-20')",baby-plage-geneva,2020-10-20,0,0.0,Petit lac
"('baby-plage-geneva', '2020-11-18')",baby-plage-geneva,2020-11-18,0,0.0,Petit lac
"('baby-plage-geneva', '2020-12-16')",baby-plage-geneva,2020-12-16,0,0.0,Petit lac
"('baby-plage-geneva', '2021-01-16')",baby-plage-geneva,2021-01-16,0,0.0,Petit lac
"('baby-plage-geneva', '2021-02-10')",baby-plage-geneva,2021-02-10,0,0.0,Petit lac
"('baby-plage-geneva', '2021-03-10')",baby-plage-geneva,2021-03-10,1,0.01,Petit lac
"('baby-plage-geneva', '2021-04-14')",baby-plage-geneva,2021-04-14,0,0.0,Petit lac
"('baby-plage-ii-geneve', '2020-11-01')",baby-plage-ii-geneve,2020-11-01,0,0.0,Petit lac
"('baby-plage-ii-geneve', '2020-12-08')",baby-plage-ii-geneve,2020-12-08,0,0.0,Petit lac
"('bain-des-dames', '2016-03-26')",bain-des-dames,2016-03-26,16,0.94,Haut lac
"('bain-des-dames', '2017-05-19')",bain-des-dames,2017-05-19,4,0.13,Haut lac
"('bain-des-dames', '2018-07-22')",bain-des-dames,2018-07-22,1,0.05,Haut lac
"('bain-des-dames', '2020-06-11')",bain-des-dames,2020-06-11,2,0.07,Haut lac
"('baye-de-clarens', '2015-11-24')",baye-de-clarens,2015-11-24,0,0.0,Haut lac
"('baye-de-clarens', '2015-12-02')",baye-de-clarens,2015-12-02,0,0.0,Haut lac
"('baye-de-clarens', '2015-12-08')",baye-de-clarens,2015-12-08,0,0.0,Haut lac
"('baye-de-clarens', '2015-12-16')",baye-de-clarens,2015-12-16,4,0.06,Haut lac
"('baye-de-clarens', '2016-01-06')",baye-de-clarens,2016-01-06,1,0.01,Haut lac
"('baye-de-clarens', '2016-01-23')",baye-de-clarens,2016-01-23,6,0.09,Haut lac
"('baye-de-clarens', '2016-02-10')",baye-de-clarens,2016-02-10,6,0.09,Haut lac
"('baye-de-clarens', '2016-03-24')",baye-de-clarens,2016-03-24,1,0.01,Haut lac
"('baye-de-clarens', '2016-03-31')",baye-de-clarens,2016-03-31,1,0.01,Haut lac
"('baye-de-clarens', '2016-04-07')",baye-de-clarens,2016-04-07,3,0.04,Haut lac
"('baye-de-clarens', '2016-04-14')",baye-de-clarens,2016-04-14,1,0.01,Haut lac
"('baye-de-clarens', '2016-05-10')",baye-de-clarens,2016-05-10,2,0.03,Haut lac
"('baye-de-clarens', '2016-05-17')",baye-de-clarens,2016-05-17,0,0.0,Haut lac
"('baye-de-montreux-d', '2015-12-04')",baye-de-montreux-d,2015-12-04,0,0.0,Haut lac
"('baye-de-montreux-d', '2015-12-10')",baye-de-montreux-d,2015-12-10,3,0.05,Haut lac
"('baye-de-montreux-d', '2015-12-17')",baye-de-montreux-d,2015-12-17,0,0.0,Haut lac
"('baye-de-montreux-d', '2016-01-07')",baye-de-montreux-d,2016-01-07,0,0.0,Haut lac
"('baye-de-montreux-d', '2016-01-19')",baye-de-montreux-d,2016-01-19,2,0.03,Haut lac
"('baye-de-montreux-d', '2016-03-24')",baye-de-montreux-d,2016-03-24,4,0.07,Haut lac
"('baye-de-montreux-d', '2016-04-07')",baye-de-montreux-d,2016-04-07,1,0.02,Haut lac
"('baye-de-montreux-d', '2016-04-14')",baye-de-montreux-d,2016-04-14,1,0.02,Haut lac
"('baye-de-montreux-d', '2016-05-17')",baye-de-montreux-d,2016-05-17,5,0.08,Haut lac
"('baye-de-montreux-d', '2016-05-28')",baye-de-montreux-d,2016-05-28,1,0.02,Haut lac
"('baye-de-montreux-d', '2016-06-28')",baye-de-montreux-d,2016-06-28,37,0.61,Haut lac
"('baye-de-montreux-d', '2016-07-05')",baye-de-montreux-d,2016-07-05,5,0.08,Haut lac
"('baye-de-montreux-d', '2016-07-10')",baye-de-montreux-d,2016-07-10,4,0.07,Haut lac
"('baye-de-montreux-d', '2016-07-16')",baye-de-montreux-d,2016-07-16,5,0.08,Haut lac
"('baye-de-montreux-d', '2016-07-19')",baye-de-montreux-d,2016-07-19,2,0.03,Haut lac
"('baye-de-montreux-d', '2016-12-16')",baye-de-montreux-d,2016-12-16,0,0.0,Haut lac
"('baye-de-montreux-g', '2015-11-23')",baye-de-montreux-g,2015-11-23,2,0.03,Haut lac
"('baye-de-montreux-g', '2015-12-04')",baye-de-montreux-g,2015-12-04,2,0.03,Haut lac
"('baye-de-montreux-g', '2015-12-10')",baye-de-montreux-g,2015-12-10,2,0.03,Haut lac
"('baye-de-montreux-g', '2015-12-17')",baye-de-montreux-g,2015-12-17,3,0.05,Haut lac
"('baye-de-montreux-g', '2015-12-30')",baye-de-montreux-g,2015-12-30,3,0.05,Haut lac
"('baye-de-montreux-g', '2016-01-13')",baye-de-montreux-g,2016-01-13,12,0.2,Haut lac
"('baye-de-montreux-g', '2016-01-19')",baye-de-montreux-g,2016-01-19,1,0.02,Haut lac
"('baye-de-montreux-g', '2016-02-11')",baye-de-montreux-g,2016-02-11,8,0.13,Haut lac
"('baye-de-montreux-g', '2016-03-10')",baye-de-montreux-g,2016-03-10,6,0.1,Haut lac
"('baye-de-montreux-g', '2016-06-22')",baye-de-montreux-g,2016-06-22,3,0.05,Haut lac
"('baye-de-montreux-g', '2016-07-15')",baye-de-montreux-g,2016-07-15,3,0.05,Haut lac
"('baye-de-montreux-g', '2016-12-16')",baye-de-montreux-g,2016-12-16,0,0.0,Haut lac
"('baye-de-montreux-g', '2020-05-07')",baye-de-montreux-g,2020-05-07,0,0.0,Haut lac
"('baye-de-montreux-g', '2020-06-02')",baye-de-montreux-g,2020-06-02,0,0.0,Haut lac
"('baye-de-montreux-g', '2020-07-14')",baye-de-montreux-g,2020-07-14,0,0.0,Haut lac
"('baye-de-montreux-g', '2020-08-11')",baye-de-montreux-g,2020-08-11,1,0.05,Haut lac
"('baye-de-montreux-g', '2020-09-08')",baye-de-montreux-g,2020-09-08,2,0.06,Haut lac
"('baye-de-montreux-g', '2020-10-15')",baye-de-montreux-g,2020-10-15,0,0.0,Haut lac
"('boiron', '2016-04-28')",boiron,2016-04-28,2,0.02,Grand lac
"('boiron', '2020-11-04')",boiron,2020-11-04,0,0.0,Grand lac
"('cully-plage', '2020-06-25')",cully-plage,2020-06-25,0,0.0,Haut lac
"('cully-plage', '2021-02-04')",cully-plage,2021-02-04,3,0.25,Haut lac
"('grand-clos', '2016-09-21')",grand-clos,2016-09-21,46,1.64,Haut lac
"('grand-clos', '2017-10-22')",grand-clos,2017-10-22,4,0.14,Haut lac
"('grand-clos', '2020-05-07')",grand-clos,2020-05-07,27,0.84,Haut lac
"('grand-clos', '2020-06-09')",grand-clos,2020-06-09,18,0.53,Haut lac
"('grand-clos', '2020-07-07')",grand-clos,2020-07-07,43,1.54,Haut lac
"('grand-clos', '2020-08-06')",grand-clos,2020-08-06,21,0.81,Haut lac
"('grand-clos', '2020-09-08')",grand-clos,2020-09-08,18,0.4,Haut lac
"('grand-clos', '2020-10-06')",grand-clos,2020-10-06,17,0.61,Haut lac
"('grand-clos', '2020-12-08')",grand-clos,2020-12-08,19,0.61,Haut lac
"('grand-clos', '2021-01-07')",grand-clos,2021-01-07,18,0.26,Haut lac
"('grand-clos', '2021-02-09')",grand-clos,2021-02-09,5,0.08,Haut lac
"('grand-clos', '2021-03-09')",grand-clos,2021-03-09,15,0.83,Haut lac
"('grand-clos', '2021-04-10')",grand-clos,2021-04-10,17,0.55,Haut lac
"('jardin-botanique', '2016-04-24')",jardin-botanique,2016-04-24,7,0.11,Petit lac
"('jardin-botanique', '2016-05-03')",jardin-botanique,2016-05-03,1,0.02,Petit lac
"('jardin-botanique', '2016-05-08')",jardin-botanique,2016-05-08,1,0.02,Petit lac
"('la-morges', '2017-04-09')",la-morges,2017-04-09,0,0.0,Grand lac
"('la-pecherie', '2020-06-23')",la-pecherie,2020-06-23,1,0.03,Grand lac
"('la-pecherie', '2020-10-06')",la-pecherie,2020-10-06,8,0.22,Grand lac
"('la-pecherie', '2021-01-22')",la-pecherie,2021-01-22,3,0.17,Grand lac
"('lacleman_gland_kubela', '2017-05-25')",lacleman_gland_kubela,2017-05-25,0,0.0,Petit lac
"('lacleman_gland_kubela', '2017-06-28')",lacleman_gland_kubela,2017-06-28,0,0.0,Petit lac
"('lacleman_gland_kubela', '2017-07-25')",lacleman_gland_kubela,2017-07-25,0,0.0,Petit lac
"('lacleman_gland_kubela', '2017-08-29')",lacleman_gland_kubela,2017-08-29,0,0.0,Petit lac
"('lacleman_gland_kubela', '2017-09-28')",lacleman_gland_kubela,2017-09-28,0,0.0,Petit lac
"('lacleman_gland_kubela', '2017-10-26')",lacleman_gland_kubela,2017-10-26,0,0.0,Petit lac
"('lacleman_gland_kubela', '2017-11-28')",lacleman_gland_kubela,2017-11-28,0,0.0,Petit lac
"('lacleman_gland_kubela', '2017-12-16')",lacleman_gland_kubela,2017-12-16,0,0.0,Petit lac
"('lacleman_gland_kubela', '2018-01-19')",lacleman_gland_kubela,2018-01-19,0,0.0,Petit lac
"('lacleman_gland_kubela', '2018-02-19')",lacleman_gland_kubela,2018-02-19,0,0.0,Petit lac
"('lacleman_gland_kubela', '2018-03-18')",lacleman_gland_kubela,2018-03-18,0,0.0,Petit lac
"('lacleman_gland_lecoanets', '2017-07-11')",lacleman_gland_lecoanets,2017-07-11,0,0.0,Petit lac
"('lacleman_gland_lecoanets', '2017-08-07')",lacleman_gland_lecoanets,2017-08-07,0,0.0,Petit lac
"('lacleman_gland_lecoanets', '2017-09-12')",lacleman_gland_lecoanets,2017-09-12,0,0.0,Petit lac
"('lacleman_gland_lecoanets', '2017-10-10')",lacleman_gland_lecoanets,2017-10-10,0,0.0,Petit lac
"('lacleman_gland_lecoanets', '2017-11-17')",lacleman_gland_lecoanets,2017-11-17,0,0.0,Petit lac
"('lacleman_gland_lecoanets', '2017-12-16')",lacleman_gland_lecoanets,2017-12-16,0,0.0,Petit lac
"('lacleman_gland_lecoanets', '2018-01-19')",lacleman_gland_lecoanets,2018-01-19,0,0.0,Petit lac
"('lacleman_gland_lecoanets', '2018-02-19')",lacleman_gland_lecoanets,2018-02-19,0,0.0,Petit lac
"('lacleman_gland_lecoanets', '2018-03-18')",lacleman_gland_lecoanets,2018-03-18,0,0.0,Petit lac
"('lacleman_gland_lecoanets', '2020-06-15')",lacleman_gland_lecoanets,2020-06-15,0,0.0,Petit lac
"('lacleman_gland_lecoanets', '2020-10-27')",lacleman_gland_lecoanets,2020-10-27,2,0.05,Petit lac
"('lacleman_vidy_santie', '2017-04-30')",lacleman_vidy_santie,2017-04-30,0,0.0,Grand lac
"('lacleman_vidy_santie', '2017-05-23')",lacleman_vidy_santie,2017-05-23,0,0.0,Grand lac
"('lacleman_vidy_santie', '2017-06-16')",lacleman_vidy_santie,2017-06-16,0,0.0,Grand lac
"('lacleman_vidy_santie', '2017-07-21')",lacleman_vidy_santie,2017-07-21,0,0.0,Grand lac
"('lacleman_vidy_santie', '2017-08-25')",lacleman_vidy_santie,2017-08-25,0,0.0,Grand lac
"('lacleman_vidy_santie', '2017-09-26')",lacleman_vidy_santie,2017-09-26,0,0.0,Grand lac
"('lacleman_vidy_santie', '2017-10-24')",lacleman_vidy_santie,2017-10-24,0,0.0,Grand lac
"('lacleman_vidy_santie', '2017-11-17')",lacleman_vidy_santie,2017-11-17,0,0.0,Grand lac
"('lacleman_vidy_santie', '2017-12-26')",lacleman_vidy_santie,2017-12-26,0,0.0,Grand lac
"('lacleman_vidy_santie', '2018-01-23')",lacleman_vidy_santie,2018-01-23,0,0.0,Grand lac
"('lacleman_vidy_santie', '2018-02-26')",lacleman_vidy_santie,2018-02-26,0,0.0,Grand lac
"('lacleman_vidy_santie', '2018-03-26')",lacleman_vidy_santie,2018-03-26,0,0.0,Grand lac
"('le-pierrier', '2016-01-13')",le-pierrier,2016-01-13,11,0.22,Haut lac
"('le-pierrier', '2016-03-14')",le-pierrier,2016-03-14,51,1.0,Haut lac
"('le-pierrier', '2016-05-30')",le-pierrier,2016-05-30,12,0.24,Haut lac
"('le-pierrier', '2017-05-25')",le-pierrier,2017-05-25,22,0.39,Haut lac
"('le-pierrier', '2020-11-17')",le-pierrier,2020-11-17,3,0.05,Haut lac
"('le-port', '2016-04-19')",le-port,2016-04-19,8,0.47,Haut lac
"('maladaire', '2016-03-31')",maladaire,2016-03-31,10,0.17,Haut lac
"('maladaire', '2016-05-31')",maladaire,2016-05-31,10,0.17,Haut lac
"('maladaire', '2020-05-28')",maladaire,2020-05-28,5,0.09,Haut lac
"('maladaire', '2020-06-28')",maladaire,2020-06-28,15,0.27,Haut lac
"('maladaire', '2020-07-29')",maladaire,2020-07-29,1,0.02,Haut lac
"('maladaire', '2020-08-31')",maladaire,2020-08-31,2,0.04,Haut lac
"('maladaire', '2020-09-30')",maladaire,2020-09-30,0,0.0,Haut lac
"('maladaire', '2020-10-29')",maladaire,2020-10-29,1,0.02,Haut lac
"('maladaire', '2020-11-27')",maladaire,2020-11-27,3,0.06,Haut lac
"('maladaire', '2020-12-29')",maladaire,2020-12-29,0,0.0,Haut lac
"('maladaire', '2021-01-29')",maladaire,2021-01-29,0,0.0,Haut lac
"('maladaire', '2021-03-02')",maladaire,2021-03-02,0,0.0,Haut lac
"('maladaire', '2021-03-30')",maladaire,2021-03-30,0,0.0,Haut lac
"('maladaire', '2021-05-01')",maladaire,2021-05-01,0,0.0,Haut lac
"('oyonne', '2016-04-10')",oyonne,2016-04-10,8,0.25,Haut lac
"('oyonne', '2017-01-31')",oyonne,2017-01-31,0,0.0,Haut lac
"('oyonne', '2021-01-06')",oyonne,2021-01-06,0,0.0,Haut lac
"('pierrier-sud', '2016-05-10')",pierrier-sud,2016-05-10,25,1.56,Haut lac
"('preverenges', '2018-05-04')",preverenges,2018-05-04,1,0.02,Grand lac
"('preverenges', '2018-07-11')",preverenges,2018-07-11,1,0.03,Grand lac
"('preverenges', '2020-06-07')",preverenges,2020-06-07,1,0.03,Grand lac
"('preverenges', '2020-07-09')",preverenges,2020-07-09,1,0.04,Grand lac
"('preverenges', '2020-08-13')",preverenges,2020-08-13,0,0.0,Grand lac
"('preverenges', '2020-09-08')",preverenges,2020-09-08,0,0.0,Grand lac
"('preverenges', '2020-10-08')",preverenges,2020-10-08,2,0.05,Grand lac
"('preverenges', '2020-11-12')",preverenges,2020-11-12,1,0.02,Grand lac
"('preverenges', '2020-12-10')",preverenges,2020-12-10,0,0.0,Grand lac
"('preverenges', '2021-01-07')",preverenges,2021-01-07,0,0.0,Grand lac
"('preverenges', '2021-02-07')",preverenges,2021-02-07,1,0.02,Grand lac
"('preverenges', '2021-03-08')",preverenges,2021-03-08,0,0.0,Grand lac
"('preverenges', '2021-04-08')",preverenges,2021-04-08,0,0.0,Grand lac
"('preverenges', '2021-05-12')",preverenges,2021-05-12,0,0.0,Grand lac
"('preverenges-le-sout', '2021-02-04')",preverenges-le-sout,2021-02-04,0,0.0,Grand lac
"('quai-maria-belgia', '2016-11-21')",quai-maria-belgia,2016-11-21,7,0.19,Haut lac
"('quai-maria-belgia', '2016-12-20')",quai-maria-belgia,2016-12-20,6,0.16,Haut lac
"('quai-maria-belgia', '2017-01-20')",quai-maria-belgia,2017-01-20,0,0.0,Haut lac
"('quai-maria-belgia', '2017-04-03')",quai-maria-belgia,2017-04-03,0,0.0,Haut lac
"('quai-maria-belgia', '2017-06-08')",quai-maria-belgia,2017-06-08,10,0.27,Haut lac
"('quai-maria-belgia', '2017-07-26')",quai-maria-belgia,2017-07-26,8,0.22,Haut lac
"('quai-maria-belgia', '2017-09-30')",quai-maria-belgia,2017-09-30,12,0.32,Haut lac
"('quai-maria-belgia', '2017-11-11')",quai-maria-belgia,2017-11-11,1,0.03,Haut lac
"('quai-maria-belgia', '2018-02-11')",quai-maria-belgia,2018-02-11,0,0.0,Haut lac
"('quai-maria-belgia', '2018-03-25')",quai-maria-belgia,2018-03-25,0,0.0,Haut lac
"('quai-maria-belgia', '2020-04-28')",quai-maria-belgia,2020-04-28,2,0.05,Haut lac
"('quai-maria-belgia', '2020-05-31')",quai-maria-belgia,2020-05-31,0,0.0,Haut lac
"('quai-maria-belgia', '2020-06-28')",quai-maria-belgia,2020-06-28,6,0.15,Haut lac
"('quai-maria-belgia', '2020-07-21')",quai-maria-belgia,2020-07-21,1,0.03,Haut lac
"('quai-maria-belgia', '2020-08-30')",quai-maria-belgia,2020-08-30,5,0.12,Haut lac
"('quai-maria-belgia', '2020-09-27')",quai-maria-belgia,2020-09-27,5,0.12,Haut lac
"('quai-maria-belgia', '2020-10-25')",quai-maria-belgia,2020-10-25,1,0.02,Haut lac
"('quai-maria-belgia', '2020-11-30')",quai-maria-belgia,2020-11-30,0,0.0,Haut lac
"('quai-maria-belgia', '2020-12-23')",quai-maria-belgia,2020-12-23,0,0.0,Haut lac
"('quai-maria-belgia', '2021-01-31')",quai-maria-belgia,2021-01-31,8,0.19,Haut lac
"('quai-maria-belgia', '2021-02-28')",quai-maria-belgia,2021-02-28,1,0.02,Haut lac
"('quai-maria-belgia', '2021-03-29')",quai-maria-belgia,2021-03-29,0,0.0,Haut lac
"('rocky-plage', '2020-11-01')",rocky-plage,2020-11-01,0,0.0,Petit lac
"('rolle-plage', '2019-10-24')",rolle-plage,2019-10-24,0,0.0,Grand lac
"('tolochenaz', '2020-05-19')",tolochenaz,2020-05-19,0,0.0,Grand lac
"('versoix', '2016-11-17')",versoix,2016-11-17,22,0.13,Petit lac
"('versoix', '2020-05-14')",versoix,2020-05-14,1,0.02,Petit lac
"('versoix', '2020-08-04')",versoix,2020-08-04,1,0.01,Petit lac
"('versoix', '2020-10-13')",versoix,2020-10-13,2,0.04,Petit lac
